"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C1";"CP_Axial_L46.0mm_D20.0mm_P52.00mm_Horizontal";1;"4700µF/25V";;;
2;"C4,C5,C6";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";3;"10µF";;;
3;"D1,D3,D4,D2";"D_DO-201AD_P15.24mm_Horizontal";4;"1N5822";;;
4;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"7V-12V AC";;;
5;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"5,1V DC";;;
6;"PS1";"OKRT15W12C";1;"OKR-T3-W12-C";;;
7;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"262,1 Ohm";;;
8;"RV1";"Potentiometer_Bourns_3296Z_Horizontal";1;"500 Ohm";;;
9;"F2";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"Fuse";;;
10;"U0";"TO-220-3_Vertical";1;"TO220_for_install";;;
11;"J3,J4";"Pin_D1.3mm_L11.0mm";2;"F-Mount";;;
12;"D7";"D_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"LED";;;
13;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4K7";;;
14;"GND,+5.1V";"SolderWirePad_1x01_SMD_5x10mm";2;"SolderWirePad_1x01_SMD_5x10mm";;;
15;"C2,C3";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"100nF";;;
